,0
f_AS %,0.035666614992372725
f_neighbor_pca_2,0.015673093685476775
f_neighbor_pca_1,0.014009020975734985
f_neighbor_pca_0,0.012651642614985536
f_neighbor_pca_3,0.007894588394104682
f_neighbor_pca_4,0.00763471053283101
f_distance,0.005154435942239955
