iterations,depth,ndcg,precision@5,recall@5,ndcg@5,enrichment@5,precision@10,recall@10,ndcg@10,enrichment@10,precision@20,recall@20,ndcg@20,enrichment@20
10.0,1.0,-0.0160580821484615,0.0,-0.011789243580415,0.0013704431697564,-0.7403644968500638,0.0015384615384615,0.0252968960863698,0.0015865473098876,0.794322537112012,-0.0046153846153846,-0.0783277051188765,-0.0331994951467546,-1.229744970366363
10.0,2.0,0.0065588802538048,0.0092307692307692,0.0355311355311355,0.0311486429903633,2.231355311355311,0.0046153846153846,0.042069597069597,0.0265013631102193,1.3209853479853475,-0.0015384615384615,-0.0296724130425318,-0.0014286269559641,-0.4658568847677511
10.0,5.0,-0.0130084244938084,0.003076923076923,-0.0097601323407774,-0.009676260773383,-0.6129363110008272,0.0061538461538461,0.024029304029304,-0.0149733967440626,0.7545201465201474,-0.003076923076923,-0.0604416438117626,-0.035053740939129,-0.948933807844675
10.0,6.0,-0.0074668148653338,0.0061538461538461,0.008357276566105,0.0031103624171199,0.5248369683514005,0.003076923076923,0.0034104491999228,-0.0016217358691143,0.1070881048775787,0.0007692307692307,-0.0602874120785835,-0.0226735799283663,-0.946512369633763
10.0,8.0,-0.0001271447661712,0.0215384615384615,0.0251920122887864,0.0028413952579797,1.5820583717357923,0.0199999999999999,0.0697728502397433,0.0192196797848517,2.1908674975279387,0.0038461538461538,-0.0038922367954625,-0.0052764104939382,-0.0611081176887644
50.0,1.0,-0.0105381566520494,-0.003076923076923,-0.0212454212454212,-0.0040617797059348,-1.3342124542124534,0.003076923076923,0.0266849816849816,0.0014125816290652,0.8379084249084245,-0.0007692307692307,-0.0419966479474119,-0.0192811385668935,-0.6593473727743691
50.0,2.0,0.0188954900103398,0.0184615384615384,0.0490166172254457,0.0616730331307004,3.0782435617579957,0.0107692307692307,0.0887584345479082,0.0660821887390424,2.787014844804319,-0.0007692307692307,-0.0317930993737445,0.0250138108381816,-0.4991516601677901
50.0,5.0,0.0058802678946875,0.0123076923076923,0.0306244830438378,0.0189755153556353,1.923217535153019,0.0153846153846153,0.0912309620204357,0.0310559765340658,2.864652207441681,0.0007692307692307,-0.0112802788609239,0.0025917325111231,-0.1771003781165072
50.0,6.0,-0.0120189491325677,0.0092307692307692,0.0337767495662232,-0.0010242132390989,2.1211798727588214,0.0138461538461538,0.0858280316175053,0.0147103105420621,2.6950001927896663,0.0007692307692307,-0.0112802788609239,-0.0166404105627123,-0.1771003781165072
50.0,8.0,-0.0030239721814269,0.0123076923076923,0.0166906098994384,0.0120618481408144,1.048170301684733,0.0092307692307692,0.0482822440717177,0.0113610886183304,1.516062463851938,0.0038461538461538,-0.0031832683445586,-0.0063310359735233,-0.0499773130095722
