iterations,depth,f_AS %,f_distance,f_neighbor_pca_0,f_neighbor_pca_1,f_neighbor_pca_2,f_neighbor_pca_3,f_neighbor_pca_4
10.0,1.0,0.0009631177781342,0.0,0.0006687786376972,0.0,0.0,0.0,0.0
10.0,2.0,0.0042348422464389,0.0,0.0005505254316287,0.0006152752198764,0.0003491875881234,6.978233266397016e-05,0.0020077524267708
10.0,5.0,0.0054803610819312,0.000308934619897,0.0026569028130163,0.0044419155064081,0.0014249565695541,0.001529428201636,0.0004935750246781
10.0,6.0,0.0071487626763248,1.128805752337314e-05,0.0023462944469966,0.0046036000027933,0.005549714242955,0.0029001116993426,0.0015678948525406
10.0,8.0,0.0078868302473781,0.0024958170515491,0.0030919406724647,0.0075418554764112,0.0056317454164462,0.0048584184524625,0.002973820067792
50.0,1.0,0.0023418796713466,0.0,0.0020030238804763,0.0005726574820489,0.0053615154890058,0.0007161042739401,0.0020224856794019
50.0,2.0,0.0044144928594719,0.0018029567901359,0.0046479282314606,0.0032466026964591,0.0071915914728721,0.0017061970373134,0.001452698261644
50.0,5.0,0.021062491955935,0.0029424852922678,0.0079719699918107,0.0173413054056982,0.0165671013716405,0.0064613762755031,0.004842968030702
50.0,6.0,0.030106995202649,0.0013717315661994,0.0134478386786913,0.0142480405366953,0.0189027355434333,0.0089625560174022,0.0072699491692657
50.0,8.0,0.0354672485463072,0.0051824398169975,0.0141711193215533,0.0193874195954695,0.0178138688550502,0.0146449843940659,0.0117820387515172
100.0,1.0,-0.0009856508418948,0.0015002466384136,0.0064740790464271,0.0013749374698031,0.0150815237551066,0.002364501913833,0.0030191274318035
100.0,2.0,0.006962550390995,0.0036248972741473,0.0092986413100999,0.0068666666941299,0.0134995008736271,0.0019719460488235,0.0017183386311048
100.0,5.0,0.0275649084866028,0.0038278663897027,0.0180654729689977,0.0217165168579345,0.0199235009688506,0.0088254142887631,0.0075852487517907
100.0,6.0,0.0330228265117462,0.007045043100667,0.0140975133388482,0.0213487651599094,0.0292435186819787,0.0139050291819761,0.0120732583233936
100.0,8.0,0.0520470218732281,0.0067820779251612,0.0184545214409386,0.0215729878217129,0.0193378720144538,0.0171379252516621,0.0146757566493334
500.0,1.0,0.0089577044402527,0.0096932564172688,0.0171529593628377,0.0193500917717956,0.017227309830505,0.0035809804186986,0.0053574134282011
500.0,2.0,0.0389532456621155,0.0080463516990967,0.021480572220672,0.0213541880131923,0.0227004824604679,0.0107749724560367,0.0061551196148651
500.0,5.0,0.0768716086555794,0.0090668326621609,0.0229825347607124,0.0218544598038645,0.0198144349630183,0.0109413911048086,0.0145693966776801
500.0,6.0,0.0799804221978139,0.0098853127633652,0.0201479173369153,0.0207876347797825,0.0236664496101046,0.0143463433182434,0.0145983664494344
500.0,8.0,0.0889263298303149,0.007810026086796,0.0195531327712593,0.0179348450558985,0.0250977078016401,0.0168354482475884,0.0182730491229607
1000.0,1.0,0.0212662449647003,0.0125017818769089,0.0196327004524632,0.0250296581558726,0.0183552844008491,0.0046888197080783,0.0023645916497506
1000.0,2.0,0.04690517698388,0.0077227987816568,0.0157345648630053,0.0177813138235627,0.0238064393644602,0.0095245510321966,0.0071000715076966
1000.0,5.0,0.09834283082469,0.0091844470667632,0.021990080706627,0.0236257131890367,0.019573526011985,0.0119465441215307,0.0165373272856302
1000.0,6.0,0.0950688007418505,0.0106319081323463,0.0228356257197146,0.0189124086659145,0.0227237406738094,0.0145200575714855,0.016219078884115
1000.0,8.0,0.0986743318215266,0.0074223985469742,0.0168344269693244,0.0187166652091049,0.0229836341769824,0.0141518265045627,0.0162084366487031
