,ndcg
ndcg,1.0
ndcg@5,0.9206281060319944
recall@5,0.7547603959184044
enrichment@5,0.7547603959184044
precision@5,0.64412776457709
f_distance,0.396249751513918
f_neighbor_pca_0,0.35759675733338886
f_neighbor_pca_1,0.3556362745397342
f_neighbor_pca_2,0.31380900018556873
f_neighbor_pca_3,0.07910561021178927
f_AS %,-0.023182988671053933
f_neighbor_pca_4,-0.03711716240871308
