representation,model,precision,recall,ndcg,enrichment,rank_first_hit,precision@2,recall@2,ndcg@2,enrichment@2,precision@3,recall@3,ndcg@3,enrichment@3,precision@5,recall@5,ndcg@5,enrichment@5,precision@10,recall@10,ndcg@10,enrichment@10,precision@20,recall@20,ndcg@20,enrichment@20,precision@50,recall@50,ndcg@50,enrichment@50
AS%,GBM,0.0197148687527353,0.7001230433403608,0.2656867584493226,2.677267703860656,35.705882352941174,0.0769230769230769,0.0915750915750915,0.1117209154945063,14.377289377289378,0.0564102564102564,0.1069597069597069,0.119413223186814,11.195115995115994,0.0492307692307692,0.1423460947654496,0.1498453429869919,8.939334751270234,0.0338461538461538,0.2112105636299184,0.1728624634428384,6.63201169797944,0.0223076923076923,0.2378057426444523,0.179466273211785,3.733550159517901,0.0183717948717948,0.4187250694975652,0.2226465312044416,2.6428205426718163
AS%,Baseline,0.0197148687527353,0.7001230433403608,0.2438710063943235,2.677267703860656,36.74509803921568,0.0461538461538461,0.0582417582417582,0.0769230769230769,9.143956043956043,0.041025641025641,0.0638662412855961,0.0923076923076923,6.684666587892394,0.0338461538461538,0.0920713694907243,0.0974570744850447,5.782082004017488,0.023076923076923,0.1330970105163653,0.1167390423807783,4.179246130213873,0.0269230769230769,0.2964930004913026,0.1693834207750368,4.654940107713452,0.0174487179487179,0.399730623083764,0.1970636733969004,2.5235354191931445
ES,GBM,0.0164464124159925,0.7707499207074759,0.2575367582574858,2.2212669953688398,42.52727272727272,0.0769230769230769,0.0504047028240576,0.1117209154945063,7.913538343377053,0.0564102564102564,0.0526025050218598,0.119413223186814,5.505728858954665,0.0461538461538461,0.0784122216210501,0.1367273960901891,4.924287517801949,0.0338461538461538,0.1494744926833212,0.1636623919837123,4.693499070256285,0.0284615384615384,0.2513532590782166,0.1811094643602851,3.9462461675280016,0.0187692307692307,0.3691463149188106,0.2020103837629267,2.3182388576901314
ES,Baseline,0.0164464124159925,0.7707499207074759,0.2767931580986257,2.2212669953688398,46.127272727272725,0.0846153846153846,0.1351648351648351,0.1197781310989037,21.22087912087912,0.0615384615384615,0.1428571428571428,0.1185430663165681,14.952380952380947,0.0461538461538461,0.1758241758241758,0.1299457370543874,11.041758241758242,0.0307692307692307,0.2172932330827067,0.1501182094373539,6.823007518796992,0.023076923076923,0.2525668389335622,0.1691504509530634,3.965299371256927,0.0172307692307692,0.3577824835040454,0.2063136839853647,2.2468739964054056
ES+AS,GBM,0.0155677461585454,0.7973330659154089,0.2518569209354864,1.9465509318600032,42.0,0.0538461538461538,0.0642325416518965,0.0906582963186826,10.08450903934775,0.041025641025641,0.0650422582510867,0.0983506040109903,6.807756363613748,0.0338461538461538,0.0845477527565812,0.1162053489602768,5.309598873113304,0.0323076923076923,0.1664014253997276,0.1539975965316156,5.225004757551448,0.0246153846153846,0.244553380971038,0.1678765180795491,3.839488081245297,0.0181538461538461,0.4186482645820507,0.2009721541103112,2.6291111015752784
ES+AS,Baseline,0.0155677461585454,0.7973330659154089,0.2589528855000755,1.9465509318600032,41.767857142857146,0.0461538461538461,0.0582417582417582,0.0712450731318685,9.143956043956043,0.0307692307692307,0.0582417582417582,0.0712450731318685,6.095970695970695,0.043076923076923,0.1250384024577572,0.1007315125162213,7.852411674347158,0.0292307692307692,0.168774666194021,0.1198363079797145,5.29952451849226,0.0261538461538461,0.3074820114803137,0.1735099804759057,4.827467580240925,0.0181538461538461,0.4121848355379764,0.1949347860744696,2.588520767178492
