k,precision,recall,ndcg,enrichment
1,0.0,0.0,0.0,0.0
2,0.5,0.027777777777777776,0.38685280723454163,51.47222222222223
3,0.3333333333333333,0.027777777777777776,0.2960819109658652,34.31481481481482
5,0.2,0.027777777777777776,0.21398626473452756,20.588888888888892
10,0.3,0.08333333333333333,0.2816575879096919,30.883333333333336
20,0.2,0.1111111111111111,0.21812889867143978,20.588888888888892
50,0.1,0.1388888888888889,0.16570717802690596,10.294444444444446
