Substrate ID,SMILES,sasa_area,sasa_volume,disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,ip,ea,homo,lumo,electrophilicity,nucleophilicity,electrofugality,nucleofugality,dipole_x,dipole_y,dipole_z,mass,radius,charge
1,OC1=C(C([H])=O)C([C@H](C)C(C)=O)=C(C)C(O)=C1C,419.13695404573446,664.833387524613,286.8400057494038,290.0993467720732,18.41229724776091,48.005485331977326,9.334344414824226,7.8765,0.3504,-0.3822523,-0.2857244,1.1241194577869018,-7.8765,9.000619457786902,0.7737194577869017,-1.40562741,0.79461836,1.83184773,236.26373999999984,4.546799622648131,0
2,OC1=C(C(C)=O)C=C(C)C(O)=C1C,360.038436333409,539.5967122808389,236.11651614908777,225.07024505442865,17.535313373216596,45.126711551422815,8.918092548094002,8.0144,-0.0862,-0.3794496,-0.2756816,0.9699336351628275,-8.0144,8.984333635162828,1.0561336351628274,-0.86322912,-1.88146178,0.06279854,180.20047999999989,3.9665858258874866,0
3,OC1=CC=CC=C1C([O-])=O,295.98674723623293,416.7692307425298,175.73459214430557,155.25393420061062,16.651015757588162,40.6887381929552,8.828447364040498,9.2345,3.1537,-0.4121208,-0.2714188,3.154755526410999,-9.2345,12.389255526410999,0.001055526410998548,-2.52370813,1.41626309,0.21172607,137.11279999999996,3.039648212099034,-1
4,OC1=CC=C(CC([H])=O)C=C1,311.9584321701575,444.8265694940605,194.30987347424357,174.35731329763266,16.70504523443585,38.65098274409526,8.536249442889428,8.2777,-0.6752,-0.3865311,-0.2665818,0.806973246797127,-8.2777,9.084673246797125,1.4821732467971274,0.81534792,-0.43715736,0.11960505,136.14791999999994,3.6212878472868244,0
5,OC1=C(O)C=C(CC[NH3+])C=C1,333.2684733170545,486.6592356754612,218.60885331988652,203.48681401300408,16.972519102261955,42.41052677969128,8.845603252174957,1.8956,-3.5729,-0.1427948,-0.1412676,0.06430774641126452,-1.8956,1.9599077464112644,3.637207746411264,4.80432943,-0.97193843,0.67578014,154.18637999999987,3.845808414857144,1
6,[O-]C(C1=CN=C(CO)C=C1)=O,313.9764604378003,447.53959854031586,188.52517638533817,170.337679702043,16.815497408716915,42.793785529320246,9.225203459679378,9.2648,3.6147,-0.4235396,-0.3127432,3.66988018464275,-9.2648,12.93468018464275,0.05518018464274981,-1.65386787,-0.61485396,0.89751923,152.12743999999992,3.608705509003693,-1
7,[O-]C(/C=C/C1=CC(OC)=CC(OC)=C1)=O,418.41755463531524,622.6644129963378,269.1266527494446,251.16431374975974,17.467481737868347,42.45394263780053,8.174492728397716,8.4158,3.3096,-0.4062156,-0.3024515,3.3656389575418113,-8.4158,11.781438957541813,0.056038957541811894,2.80863139,2.39533677,0.27117791,207.2026399999999,5.1862309760208545,-1
8,OC1=C(C)C(O)=C(C([H])=O)C(C)=C1,334.87812018192375,495.2941183935723,212.11685041417945,201.07932045663392,17.258240809282892,41.563834463780765,9.02270615134721,8.1855,0.0903,-0.3856132,-0.2853985,1.0575536373406458,-8.1855,9.243053637340648,0.9672536373406462,-0.28658556,-1.18999522,1.47411989,166.17389999999992,3.4435915504037315,0
9,O=CC1=C(Br)C=C(OC)C(C)=C1OC,392.3409835870621,600.1666198389202,263.68808578688754,255.29949887593162,18.466098298543645,46.0118207211552,8.500908900182015,8.2912,0.5632,-0.3971386,-0.2962004,1.2681224016563146,-8.2912,9.559322401656317,0.7049224016563146,-2.06824914,-1.15909194,0.17299757,259.09654,4.178044096406317,0
10,OC1=C(C)C([O-])=C(C(C)=O)C=C1,335.6085362179605,496.4261307583446,215.21445195900333,203.1925781265637,17.271820539858588,46.71895149008905,8.796586197887272,8.2214,-0.4158,-0.3804627,-0.2639931,0.8817584309730003,-8.2214,9.103158430972998,1.2975584309730004,1.58616824,1.10696781,0.15193236,166.17389999999992,4.025992682571849,0
