descriptor,mean,std
MaxAbsEStateIndex,10.76676668768388,2.7495397901537437
MaxEStateIndex,10.76676668768388,2.7495397901537437
MinAbsEStateIndex,0.16133331366045198,0.2429014427237637
MinEStateIndex,-0.878098510988279,1.105655017876981
qed,0.5379747056074295,0.1914607022506113
SPS,29.032195619907405,14.306732897323728
MolWt,300.83388135593225,150.75223278969978
HeavyAtomMolWt,280.0502881355933,141.6747265387543
ExactMolWt,300.60527198419646,150.65018200820006
NumValenceElectrons,115.79661016949153,57.39971698343431
NumRadicalElectrons,0.0,1.0
MaxPartialCharge,0.20989424662712977,0.08290211278443091
MinPartialCharge,-0.5076389309323524,0.13721091605643124
MaxAbsPartialCharge,0.5080670551625748,0.1366067862875562
MinAbsPartialCharge,0.2097036957213156,0.08173282618075761
FpDensityMorgan1,1.2263218276158452,0.2734760812365234
FpDensityMorgan2,1.9124921287975905,0.28022098433979786
FpDensityMorgan3,2.523719603231679,0.3013269205732186
BCUT2D_MWHI,19.259731621021793,13.460504637560717
BCUT2D_MWLOW,9.839153934636396,0.2523849757692872
BCUT2D_CHGHI,2.3974061803921196,0.24265017924497226
BCUT2D_CHGLO,-2.3247811132520564,0.20002705399743398
BCUT2D_LOGPHI,2.3709224033180667,0.23612172725500669
BCUT2D_LOGPLOW,-2.569606049519217,0.3570566523155522
BCUT2D_MRHI,6.037304155267304,1.0585444610328236
BCUT2D_MRLOW,-0.30124390278559326,0.36103819016555266
AvgIpc,2.5645737913172018,0.4516374867555505
BalabanJ,2.2943367057666233,0.742798797355776
BertzCT,624.0053514922025,396.49580181081654
Chi0,15.662389629904688,7.650198444648659
Chi0n,12.528858890123038,6.104234606040385
Chi0v,12.675006264173799,6.287739297605162
Chi1,10.11023708746996,4.907120800640223
Chi1n,7.376448958176716,3.668289968545672
Chi1v,7.530573050970236,3.967991660483701
Chi2n,6.303649793927524,3.449287257073259
Chi2v,6.4636564172431825,3.6794219448544867
Chi3n,4.841156291557436,2.9041601599647033
Chi3v,4.968448701596934,3.0078022929179737
Chi4n,3.6962377182789643,2.5805960886062023
Chi4v,3.8022886782987237,2.6337483750620962
HallKierAlpha,-1.744915254237288,0.9357228987174157
Kappa1,15.052162694103002,8.385836519757929
Kappa2,5.528199330338543,4.028006160817994
Kappa3,2.8093300105374213,3.0418163663911417
LabuteASA,126.37718442489985,60.680538157730226
PEOE_VSA1,18.628616662845285,14.273270927943368
