,ndcg
ndcg,1.0
ndcg@5,0.7105459550468146
recall@5,0.6407171234930562
enrichment@5,0.640717123493056
precision@5,0.3717835128786074
f_neighbor_pca_4,0.28662987834774367
f_neighbor_pca_3,0.2644782415069155
f_neighbor_pca_2,0.18221891005278232
f_neighbor_pca_1,0.15838516310733233
f_neighbor_pca_0,0.04151830627393001
f_distance,0.012762887499078885
f_embedding_similarity,-0.30535233880290147
