iterations,depth,ndcg,precision@5,recall@5,ndcg@5,enrichment@5,precision@10,recall@10,ndcg@10,enrichment@10,precision@20,recall@20,ndcg@20,enrichment@20
10.0,1.0,-0.0314349764145915,-0.0092307692307692,-0.0523647207348395,-0.0425554160693026,-3.288504462147925,0.0015384615384615,-0.0498153883467975,-0.037977914787234,-1.5642031940894423,0.0038461538461538,-0.0305616398315889,-0.0266602535652839,-0.4798177453559455
10.0,2.0,-0.0291293152215798,-0.0061538461538461,-0.0431156364857553,-0.0318992679841695,-2.7076619713054333,-3.469446951953614e-18,-0.0387200320901509,-0.0270135440424474,-1.2158090076307393,0.0015384615384615,-0.0493729360622399,-0.0317225703096773,-0.7751550961771669
10.0,5.0,-0.026153112705011,-0.0061538461538461,-0.0563024496725685,-0.0238146573520501,-3.535793839437301,0.0015384615384615,-0.0375440151246602,-0.0135790467212309,-1.1788820749143332,-0.0015384615384615,-0.0622117639010678,-0.025420516387636,-0.9767246932467644
10.0,6.0,-0.0181033441619473,-0.0061538461538461,-0.0559361493062681,-0.0259476863344073,-3.512790176433639,0.0061538461538461,-0.0147805307312947,-0.0068371578208981,-0.4641086649626542,0.003076923076923,0.0306781531993756,-0.0060313521873857,0.4816470052301973
10.0,8.0,-0.000161533339293,0.003076923076923,-0.0307364565259301,-0.0084300419674347,-1.930249469828416,0.0092307692307692,-0.0201119734820923,0.0029996092440976,-0.6315159673376991,0.0061538461538461,-0.0156112676231522,0.0033203427843619,-0.2450969016834889
50.0,1.0,-0.0464101096151304,-0.0092307692307692,-0.065826259196378,-0.062774333115979,-4.13388907753254,0.0015384615384615,-0.0332255265956454,-0.048581734709924,-1.0432815351032665,0.0007692307692307,-0.0438784305677344,-0.0533271778922581,-0.6888913599134314
50.0,2.0,-0.0244911910584632,-0.0123076923076923,-0.0589965297860034,-0.043346605620122,-3.704982070561017,-0.003076923076923,-0.061796955167074,-0.0376116383920063,-1.940424392246124,0.0038461538461538,-0.0037153678240265,-0.0177647647609371,-0.0583312748372173
50.0,5.0,-0.0115910435497535,0.0,-0.0062108745809934,-0.019302418743403,-0.3900429236863862,0.0076923076923076,-0.0082015833628736,0.000824154664618,-0.2575297175942337,0.0046153846153846,0.0005963730666616,-0.0003010993064999,0.0093630571465883
50.0,6.0,-0.0228127165731705,-0.0092307692307692,-0.0464267990074441,-0.0343142055780819,-2.915602977667493,0.0046153846153846,-0.0056374807987711,-0.0111422505328101,-0.1770168970814136,0.003076923076923,-0.0204292679589793,-0.0153877214614085,-0.3207395069559755
50.0,8.0,-0.0250529644905651,-0.0061538461538461,-0.0352785810680547,-0.0270142008255859,-2.215494891073837,0.0046153846153846,-0.019320571901217,-0.0213032301084901,-0.6066659576982154,0.0,-0.0206750747837335,-0.0234207257544634,-0.324598674104616
100.0,1.0,-0.0381562475627923,-0.0092307692307692,-0.065826259196378,-0.0557554301798563,-4.13388907753254,-3.469446951953614e-18,-0.0499982275788727,-0.0459087021311874,-1.5699443459766038,0.0007692307692307,-0.0435649918841769,-0.0450233892886802,-0.683970372581578
100.0,2.0,-0.0345620762143114,-0.0123076923076923,-0.0606980540681729,-0.0534538509063422,-3.8118377954812575,-0.0015384615384615,-0.0405515339216527,-0.0426759209323607,-1.2733181651398966,0.0023076923076923,-0.0227245844138883,-0.0304001190445675,-0.356775975298047
100.0,5.0,-0.0176853548844919,-0.003076923076923,-0.0288443814250265,-0.0182553786420996,-1.8114271534916693,0.0061538461538461,-0.0103993855606758,-0.0009337554766091,-0.3265407066052228,0.0046153846153846,-0.0008304259407825,-0.005488458252488,-0.0130376872702848
100.0,6.0,-0.0203809753814667,-0.003076923076923,-0.0084615384615384,-0.0266218978857742,-0.5313846153846145,0.003076923076923,-0.0086978612785064,-0.0160815687809716,-0.2731128441451025,0.0007692307692307,-0.0151034534226384,-0.0198512429459203,-0.2371242187354241
100.0,8.0,-0.0213744015862824,-0.003076923076923,-0.0198939656834393,-0.0256741084758535,-1.2493410449199915,0.0061538461538461,-0.0188242939855843,-0.018769008082917,-0.5910828311473475,-0.0015384615384615,-0.0244680559960695,-0.0255840624275134,-0.3841484791382927
500.0,1.0,-0.0271089286037107,-0.0123076923076923,-0.0677493361194549,-0.0546686345036206,-4.254658308301771,0.003076923076923,-0.0166648942455393,-0.0256814799570538,-0.5232776793099374,0.003076923076923,0.0049842658756071,-0.0188835277304062,0.0782529742470319
500.0,2.0,-0.0382366778596168,-0.0092307692307692,-0.0506631964526701,-0.0556512094076414,-3.1816487372276843,-0.003076923076923,-0.0570495096301547,-0.0520149425361106,-1.79135460238686,-0.0007692307692307,-0.0021621361095045,-0.0350159194274144,-0.0339455369192212
500.0,5.0,-0.0312309351217604,0.0,-0.0322710622710622,-0.026214680521765,-2.0266227106227097,0.0015384615384615,-0.0215018315018314,-0.0213613747250615,-0.6751575091575095,0.0,-0.026205899363794,-0.0255684915101536,-0.4114326200115674
500.0,6.0,-0.0376976220058108,-0.0092307692307692,-0.0541191066997518,-0.0448054230511122,-3.3986799007444164,0.0061538461538461,-0.022280204232666,-0.027806643008992,-0.6995984129057131,0.0038461538461538,-0.0128982505892522,-0.0289290493103215,-0.2025025342512605
500.0,8.0,-0.0391089002927485,-0.003076923076923,-0.0625440151246602,-0.0314434423205977,-3.9277641498286657,0.0076923076923076,-0.0315148292567647,-0.0268921144020762,-0.989565638662412,0.0015384615384615,-0.0502446563057768,-0.0419446613344726,-0.7888411040006966
1000.0,1.0,-0.0241111566576521,-0.0123076923076923,-0.0574929258630446,-0.0466180025704194,-3.610555744199207,-3.469446951953614e-18,-0.0117053800754989,-0.0334810797908336,-0.3675489343706655,0.0007692307692307,0.0115209549929413,-0.0181873958579828,0.1808789933891801
1000.0,2.0,-0.0359023974903511,-0.003076923076923,-0.0497069597069596,-0.0309377810603877,-3.121597069597068,0.0015384615384615,-0.0346886446886446,-0.0315644704812949,-1.089223443223443,-0.0023076923076923,-0.0452390591864275,-0.0259361305598467,-0.7102532292269133
1000.0,5.0,-0.0325293287568863,0.0,-0.0475257001063452,-0.026235768502004,-2.9846139666784826,0.0076923076923076,-0.0310020087439442,-0.0158091252796735,-0.9734630745598488,-0.0023076923076923,-0.052685871005056,-0.0277812672451552,-0.8271681747793802
1000.0,6.0,-0.034841566385745,0.003076923076923,-0.0470294221907125,-0.0316062157357405,-2.953447713576745,0.0107692307692307,-0.0024999844524462,-0.0176531303848121,-0.0784995118068128,0.0038461538461538,-0.0161016063732532,-0.0282402785325029,-0.2527952200600754
1000.0,8.0,-0.0403345110190291,-0.0092307692307692,-0.0953810705423608,-0.0416066863727584,-5.989931230060262,0.0061538461538461,-0.0208921186340541,-0.0141387778815148,-0.6560125251092996,0.0015384615384615,-0.0344771979576733,-0.0318868791347636,-0.5412920079354717
