iterations,depth,ndcg,f_embedding_similarity,f_distance,f_neighbor_pca_0,f_neighbor_pca_1,f_neighbor_pca_2,f_neighbor_pca_3,f_neighbor_pca_4
10.0,1.0,-0.0314349764145915,0.0111739968450466,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.0,-0.0291293152215798,0.0054136777410791,0.00038020670483,0.0026706469134679,0.0,0.0024896016396998,0.0005400934376995,0.0010489762512584
10.0,5.0,-0.026153112705011,0.0161017475124592,0.0015688210080758,0.0048670334528417,0.0028315098699357,0.0042377579050626,0.0076723587846632,0.0053543895484221
10.0,6.0,-0.0181033441619473,0.0166908561946179,0.0039643644208655,0.0084383445143738,0.0043678924967258,0.0059322906990235,0.0066352445574047,0.00727045032323
10.0,8.0,-0.000161533339293,0.0250034116546666,0.0042269667007285,0.0111345377276151,0.0095599466664845,0.0104191830102124,0.0112397088307363,0.0089376957080659
50.0,1.0,-0.0464101096151304,0.0276431661717763,0.0,0.0048142006069209,0.0010929574597949,0.0030872663533161,0.0001851056296759,0.0006901212612555
50.0,2.0,-0.0244911910584632,0.0245887219470704,0.0026424052806762,0.0100188940160101,0.0024757437171966,0.006185851262376,0.0036447341614845,0.0158884576180675
50.0,5.0,-0.0115910435497535,0.0434571776829967,0.0075249463654855,0.0094952647063407,0.012181069895305,0.0148863086486552,0.0213154578962634,0.0217031102089779
50.0,6.0,-0.0228127165731705,0.0486998185265947,0.0135901452595446,0.0182735182276909,0.0148532033986517,0.0215281747048282,0.0196436407212522,0.0185847361516465
50.0,8.0,-0.0250529644905651,0.0721904360126822,0.0149208679064488,0.0215163911147786,0.019088114208773,0.0224036577435871,0.0222784732115631,0.0249294640801251
100.0,1.0,-0.0381562475627923,0.0443281311081106,0.0007689648461395,0.0089020197977399,0.0032871095483141,0.0043840328936654,0.0012902692332624,0.0089761611346194
100.0,2.0,-0.0345620762143114,0.0405717250297129,0.0046635407144213,0.0137374639915698,0.005703924984664,0.0118060025688166,0.012738675173628,0.0203623606985117
100.0,5.0,-0.0176853548844919,0.0596406020697407,0.0124287694924947,0.015147004187869,0.0166769132162679,0.0237290734211393,0.0272937305106421,0.0235904390142075
100.0,6.0,-0.0203809753814667,0.0821141715436575,0.0194545198416485,0.0191564862130893,0.0187686183591717,0.0241555893972214,0.0259364219428062,0.021963201154024
100.0,8.0,-0.0213744015862824,0.0985359949078104,0.0188288253081507,0.0264398089843536,0.0220800726123693,0.0287393999986407,0.0275448950343664,0.0237218426143399
500.0,1.0,-0.0271089286037107,0.0683329967570083,0.0058330062583901,0.0340581756179139,0.0115385512632433,0.0149931599232965,0.0149160199319396,0.0296624616980361
500.0,2.0,-0.0382366778596168,0.078740834558134,0.0179695284303048,0.02758578928994,0.0128355067321059,0.0210475062312952,0.0244539864042826,0.0176745993765087
500.0,5.0,-0.0312309351217604,0.1465596540345796,0.0174906211031352,0.020117657148664,0.0210207591938934,0.0234143607414045,0.0249242260681992,0.0181097646727412
500.0,6.0,-0.0376976220058108,0.1364768835910595,0.0176430123250161,0.0196757657144341,0.0190977417482157,0.0224387646061861,0.0203247548809985,0.0180714783008011
500.0,8.0,-0.0391089002927485,0.1043289418517022,0.01105676966719,0.015370382252705,0.0142375739425571,0.0140662061461148,0.0154815723364011,0.0131554337607888
1000.0,1.0,-0.0241111566576521,0.0871947628677194,0.0110724109083175,0.0438525591056473,0.0090759965130124,0.0185193794053425,0.0265339660682091,0.0264065257239367
1000.0,2.0,-0.0359023974903511,0.1213551868290598,0.0205426706431354,0.0291331094030557,0.0153798877857958,0.0198573518150746,0.0211726919157835,0.0164717949399496
1000.0,5.0,-0.0325293287568863,0.1440744756658739,0.0127146552628751,0.0167144175489006,0.0151825137486503,0.0177235730842332,0.0155947343528907,0.0134660006730523
1000.0,6.0,-0.034841566385745,0.1126527824373945,0.0092518767864643,0.0131365864848618,0.0115545290907819,0.0128085811108059,0.0123844523948527,0.0106820845923599
1000.0,8.0,-0.0403345110190291,0.0695699910260963,0.0047426136241185,0.006878970638039,0.0067596120308308,0.0067419345581674,0.0077607693155948,0.0063779910980402
