iter	Passed	Remaining
416	2787	3897
417	2793	3890
418	2799	3882
419	2805	3874
420	2811	3866
421	2819	3861
422	2826	3855
423	2832	3847
424	2838	3839
425	2844	3832
426	2850	3825
427	2857	3818
428	2863	3810
429	2868	3802
430	2874	3795
431	2880	3787
432	2886	3779
433	2891	3771
434	2897	3763
435	2904	3756
436	2909	3748
437	2915	3741
438	2921	3733
439	2927	3725
440	2933	3717
441	2938	3710
442	2944	3702
443	2950	3694
444	2956	3686
445	2962	3679
446	2968	3672
447	2974	3664
448	2980	3657
449	2986	3649
450	2991	3641
451	2997	3634
452	3003	3627
453	3009	3619
454	3015	3611
455	3021	3604
456	3027	3596
457	3032	3589
458	3038	3581
459	3044	3574
460	3051	3568
461	3058	3562
462	3066	3556
463	3074	3551
464	3080	3544
465	3087	3537
466	3093	3530
467	3099	3523
468	3105	3516
469	3115	3513
470	3124	3509
471	3133	3505
472	3145	3504
473	3159	3505
474	3169	3503
475	3178	3498
476	3185	3492
477	3191	3485
478	3199	3480
479	3206	3474
480	3215	3469
481	3228	3469
482	3239	3467
483	3251	3466
484	3261	3462
485	3271	3460
486	3281	3456
487	3291	3453
488	3301	3449
489	3311	3446
490	3324	3446
491	3334	3442
492	3343	3438
493	3354	3436
494	3362	3430
495	3370	3424
496	3377	3418
497	3385	3412
498	3392	3406
499	3400	3400
500	3407	3393
501	3413	3386
502	3420	3379
503	3427	3373
504	3435	3367
505	3441	3360
506	3447	3352
507	3453	3344
508	3458	3336
509	3464	3328
510	3471	3321
511	3476	3313
512	3484	3307
513	3491	3301
514	3498	3294
515	3505	3287
516	3511	3280
517	3518	3274
518	3525	3267
519	3531	3260
520	3537	3252
521	3547	3248
522	3554	3241
523	3561	3234
524	3567	3227
525	3573	3220
526	3579	3212
527	3585	3205
528	3591	3198
529	3599	3192
530	3609	3188
531	3620	3184
532	3627	3177
533	3635	3172
534	3645	3168
535	3655	3164
536	3666	3161
537	3678	3158
538	3687	3153
539	3696	3149
540	3703	3141
541	3708	3134
542	3714	3126
543	3726	3123
544	3733	3117
545	3743	3112
546	3753	3108
547	3759	3101
548	3767	3095
549	3773	3087
550	3779	3079
551	3785	3072
552	3791	3064
553	3798	3057
554	3804	3050
555	3810	3042
556	3816	3035
557	3822	3028
558	3828	3020
559	3834	3013
560	3841	3005
561	3846	2997
562	3852	2990
563	3859	2983
564	3864	2975
565	3870	2968
566	3876	2960
567	3884	2954
568	3891	2947
569	3897	2940
570	3903	2932
571	3909	2925
572	3915	2918
573	3921	2910
574	3928	2903
575	3934	2896
576	3940	2888
577	3945	2880
578	3952	2873
579	3963	2869
580	3969	2862
581	3974	2854
582	3982	2848
583	3987	2840
584	3993	2833
585	3999	2825
586	4006	2818
587	4012	2811
588	4018	2804
589	4028	2799
590	4038	2794
591	4048	2790
592	4057	2785
593	4068	2781
594	4079	2776
595	4089	2772
596	4097	2765
597	4103	2758
598	4114	2754
599	4121	2747
600	4127	2740
601	4133	2732
602	4139	2725
603	4146	2718
604	4152	2710
605	4158	2703
606	4164	2696
607	4171	2689
608	4177	2682
609	4184	2675
610	4190	2668
611	4197	2661
612	4204	2654
613	4211	2647
614	4218	2641
615	4226	2634
616	4234	2628
617	4241	2622
618	4247	2614
619	4255	2608
620	4265	2603
621	4277	2599
622	4290	2596
623	4297	2589
624	4306	2583
625	4312	2576
626	4321	2571
627	4331	2565
628	4341	2560
629	4351	2555
630	4357	2548
631	4363	2540
632	4368	2533
633	4375	2525
634	4381	2518
635	4387	2511
636	4393	2503
637	4399	2496
638	4405	2489
639	4411	2481
640	4417	2474
641	4423	2466
642	4429	2459
643	4436	2452
644	4442	2444
645	4448	2437
646	4454	2430
647	4460	2422
648	4466	2415
649	4472	2408
650	4478	2400
651	4485	2393
652	4494	2388
653	4505	2383
654	4515	2378
655	4521	2371
656	4528	2364
657	4535	2357
658	4540	2349
659	4547	2342
660	4553	2335
661	4560	2328
662	4566	2321
663	4572	2313
664	4577	2306
665	4583	2298
666	4589	2291
667	4595	2283
668	4601	2276
669	4608	2269
670	4614	2262
671	4619	2254
672	4625	2247
673	4631	2240
674	4636	2232
675	4642	2225
676	4648	2217
677	4654	2210
678	4661	2203
679	4669	2197
680	4676	2190
681	4683	2183
682	4689	2176
683	4696	2169
684	4703	2162
685	4710	2156
686	4717	2149
687	4724	2142
688	4731	2135
689	4740	2129
690	4747	2122
691	4753	2115
692	4761	2109
693	4768	2102
694	4774	2095
695	4781	2088
696	4788	2081
697	4794	2074
698	4800	2066
699	4807	2060
700	4814	2053
701	4820	2046
702	4826	2038
703	4832	2031
704	4840	2025
705	4846	2018
706	4851	2010
707	4857	2003
708	4863	1996
709	4869	1988
710	4876	1982
711	4882	1975
712	4888	1967
713	4894	1960
714	4900	1953
715	4906	1946
716	4912	1938
717	4918	1931
718	4924	1924
719	4930	1917
720	4936	1910
721	4942	1903
722	4948	1895
723	4955	1889
724	4960	1881
725	4966	1874
726	4972	1867
727	4978	1860
728	4985	1853
729	4992	1846
730	4999	1839
731	5006	1833
732	5013	1826
733	5019	1818
734	5024	1811
735	5030	1804
736	5037	1797
737	5042	1790
738	5048	1783
739	5054	1776
740	5060	1768
741	5066	1761
742	5072	1754
743	5077	1747
744	5083	1739
745	5090	1733
746	5096	1726
747	5103	1719
748	5108	1711
749	5114	1704
750	5120	1697
751	5127	1691
752	5133	1684
753	5140	1677
754	5146	1670
755	5152	1662
756	5158	1655
757	5164	1648
758	5170	1641
759	5176	1634
760	5182	1627
761	5189	1620
762	5196	1614
763	5202	1607
764	5208	1599
765	5214	1592
766	5220	1585
767	5226	1578
768	5231	1571
769	5237	1564
770	5244	1557
771	5250	1550
772	5256	1543
773	5263	1536
774	5268	1529
775	5274	1522
776	5280	1515
777	5286	1508
778	5292	1501
779	5298	1494
780	5305	1487
781	5316	1482
782	5328	1476
783	5334	1469
784	5341	1463
785	5348	1456
786	5354	1449
787	5360	1442
788	5365	1434
789	5371	1427
790	5377	1420
791	5384	1413
792	5390	1406
793	5395	1399
794	5402	1392
795	5408	1386
796	5414	1378
797	5419	1371
798	5426	1365
799	5436	1359
800	5442	1352
801	5448	1345
802	5454	1338
803	5459	1331
804	5467	1324
805	5473	1317
806	5479	1310
807	5486	1303
808	5491	1296
809	5501	1290
810	5507	1283
811	5513	1276
812	5519	1269
813	5526	1262
814	5533	1256
815	5544	1250
816	5551	1243
817	5557	1236
818	5563	1229
819	5569	1222
820	5575	1215
821	5581	1208
822	5587	1201
823	5593	1194
824	5600	1188
825	5606	1181
826	5612	1174
827	5618	1167
828	5624	1160
829	5630	1153
830	5636	1146
831	5642	1139
832	5648	1132
833	5654	1125
834	5660	1118
